 warn --- config file  - /opt/bambooagent/xml-data/temporary-repositories/maintenance/hybris/bin/modules/npm-ancillary/npmancillary/resources/npm/verdaccio/config_offline.yaml
 warn --- Verdaccio started
 warn --- http address - http://localhost:4873/ - verdaccio/4.12.0
 http <-- 200, user: null(127.0.0.1), req: 'GET /pnpm', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'POST /-/npm/v1/security/advisories/bulk', bytes: 40/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /pnpm/-/pnpm-5.18.10.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'POST /-/npm/v1/security/audits/quick', bytes: 296/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/animations/-/animations-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/cdk/-/cdk-8.2.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/common/-/common-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/compiler/-/compiler-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/core/-/core-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/elements/-/elements-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/forms/-/forms-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/platform-browser/-/platform-browser-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/platform-browser-dynamic/-/platform-browser-dynamic-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/router/-/router-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular/upgrade/-/upgrade-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@compodoc/compodoc/-/compodoc-1.1.11.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@fundamental-ngx/core/-/core-0.13.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs/cli/-/cli-7.6.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs/common/-/common-7.6.15.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs/platform-express/-/platform-express-7.6.15.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs/schematics/-/schematics-7.3.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs/testing/-/testing-7.6.15.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@ngx-translate/core/-/core-11.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@ngx-translate/http-loader/-/http-loader-4.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@sap-theming/theming-base-content/-/theming-base-content-11.1.19.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/angular/-/angular-1.7.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/angular-animate/-/angular-animate-1.5.10.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/angular-cookies/-/angular-cookies-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/angular-mocks/-/angular-mocks-1.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/angular-route/-/angular-route-1.7.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/angular-sanitize/-/angular-sanitize-1.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/angular-translate/-/angular-translate-2.16.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/angular-ui-bootstrap/-/angular-ui-bootstrap-0.13.47.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/ckeditor/-/ckeditor-4.9.10.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/connect/-/connect-3.4.33.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/crypto-js/-/crypto-js-3.1.43.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/eonasdan-bootstrap-datetimepicker/-/eonasdan-bootstrap-datetimepicker-4.17.26.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/fetch-mock/-/fetch-mock-7.3.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/jquery/-/jquery-3.3.38.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/lodash/-/lodash-4.14.159.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/node/-/node-14.11.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/scriptjs/-/scriptjs-0.0.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/serve-index/-/serve-index-1.7.29.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/supertest/-/supertest-2.0.8.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/swagger-tools/-/swagger-tools-0.10.6.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types/webpack-env/-/webpack-env-1.15.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@typescript-eslint/eslint-plugin/-/eslint-plugin-4.1.1.tgz', bytes: 0/0
